true_label,pred_label,confidence
0,0,0.9999976
0,0,0.99999857
0,0,0.99999833
0,0,0.99999857
0,0,0.99999785
0,0,0.99999833
0,0,0.9999987
0,0,0.9999987
0,0,0.9999989
0,0,0.99999857
0,0,0.9999982
0,0,0.9999975
0,0,0.9999988
0,0,0.999997
0,0,0.9999987
0,0,0.9999975
0,0,0.99999845
0,0,0.9999969
0,0,0.99999726
0,0,0.9999987
0,0,0.99999905
0,0,0.9999993
0,0,0.999998
0,0,0.99999774
0,0,0.9999981
0,0,0.99999785
0,0,0.99999845
0,0,0.9999982
0,0,0.99999845
0,0,0.99999774
0,0,0.99999785
0,0,0.99999607
0,0,0.99999774
0,0,0.99999833
0,0,0.9999974
0,0,0.9999982
0,0,0.9999982
0,0,0.9999982
0,0,0.99999666
0,0,0.99999857
0,0,0.99999666
0,0,0.9999974
0,0,0.99999917
0,0,0.99999785
0,0,0.9999987
0,0,0.99999785
0,0,0.9999989
0,0,0.9999968
0,0,0.9999981
0,0,0.9999982
0,0,0.9999981
0,0,0.99999785
0,0,0.9999988
0,0,0.9999982
0,0,0.9999981
0,0,0.9999938
0,0,0.9999987
0,0,0.99999833
0,0,0.9999988
0,0,0.999998
1,1,0.99994075
1,1,0.9999981
1,1,0.99999607
1,1,0.99999714
1,1,0.99999
1,1,0.99999917
1,1,0.99999845
1,1,0.99999785
1,1,0.99998856
1,1,0.99999666
1,1,0.9999937
1,1,0.9999931
1,1,0.9999887
1,1,0.999982
1,1,0.999997
1,1,0.9999974
1,1,0.99999034
1,1,0.99999917
1,1,0.99998796
1,1,0.9999989
1,1,0.99999774
1,1,0.9999995
1,1,0.99999917
1,1,0.9999994
1,1,0.9999987
1,1,0.9999994
1,1,0.99999905
1,1,0.99999404
1,1,0.9999993
1,1,0.99999654
1,1,0.9999987
1,1,0.9999988
1,1,0.99999213
1,1,0.9999989
1,1,0.99999106
1,1,0.999998
1,1,0.9999907
1,1,0.99999857
1,1,0.99999595
1,1,0.99999464
1,1,0.9999844
1,1,0.99999714
1,1,0.99973387
1,1,0.99999475
1,1,0.99999857
1,1,0.9999893
1,1,0.99999833
1,1,0.9999902
1,1,0.9999939
1,1,0.9999976
1,1,0.9999995
1,1,0.9999993
1,1,0.99999917
1,1,0.9999862
1,1,0.9999987
1,1,0.9999914
1,1,0.99999106
1,1,0.9999813
1,1,0.99999046
1,1,0.99999547
2,2,0.9999995
2,2,0.9999999
2,2,0.9999999
2,2,0.99999964
2,2,1.0
2,2,1.0
2,2,0.9999999
2,2,0.9999999
2,2,0.9999995
2,2,0.9999999
2,2,0.9999962
2,2,0.99999666
2,2,0.9999999
2,2,0.9999999
2,2,0.9999999
2,2,0.99999905
2,2,0.9999999
2,2,0.9999999
2,2,0.9999993
2,2,0.9999975
2,2,0.9999999
2,2,0.9999999
2,2,0.9999999
2,2,0.99999964
2,2,0.9999999
2,2,0.99999964
2,2,0.9999999
2,2,0.9999999
2,2,0.9999999
2,2,0.9999999
2,2,0.99999976
2,2,0.9999995
2,2,0.9999999
2,2,0.9999912
2,2,0.9999994
2,2,0.9999999
2,2,0.9999999
2,2,0.99999964
2,2,0.9999995
2,2,0.99999964
2,2,0.9999999
2,2,0.9999999
2,2,0.99999976
2,2,0.9999999
2,2,0.9999999
2,2,0.9999999
2,2,0.99999976
2,2,0.9999999
2,2,0.9999999
2,2,0.9999999
2,2,0.9999999
2,2,0.9999999
2,2,0.99999917
2,2,0.9999999
2,2,0.9999999
2,2,0.9999999
2,2,1.0
2,2,0.9999999
2,2,0.99999976
2,2,0.9999999
3,3,0.9999988
3,3,0.99999714
3,3,0.9999987
3,3,0.99998474
3,3,0.9999981
3,3,0.9999994
3,3,0.9997688
3,3,0.9999981
3,3,0.9999974
3,3,0.99999785
3,3,0.9999988
3,3,0.99999833
3,3,0.99894506
