coverage,risk_confidence,risk_trust
0.002777777777777778,0.0,0.0
0.005555555555555556,0.0,0.0
0.008333333333333333,0.0,0.0
0.011111111111111112,0.0,0.0
0.013888888888888888,0.0,0.0
0.016666666666666666,0.0,0.0
0.019444444444444445,0.0,0.0
0.022222222222222223,0.0,0.0
0.025,0.0,0.0
0.027777777777777776,0.0,0.0
0.030555555555555555,0.0,0.0
0.03333333333333333,0.0,0.0
0.03611111111111111,0.0,0.0
0.03888888888888889,0.0,0.0
0.041666666666666664,0.0,0.0
0.044444444444444446,0.0,0.0
0.04722222222222222,0.0,0.0
0.05,0.0,0.0
0.05277777777777778,0.0,0.0
0.05555555555555555,0.0,0.0
0.058333333333333334,0.0,0.0
0.06111111111111111,0.0,0.0
0.06388888888888888,0.0,0.0
0.06666666666666667,0.0,0.0
0.06944444444444445,0.0,0.0
0.07222222222222222,0.0,0.0
0.075,0.0,0.0
0.07777777777777778,0.0,0.0
0.08055555555555556,0.0,0.0
0.08333333333333333,0.0,0.0
0.08611111111111111,0.0,0.0
0.08888888888888889,0.0,0.0
0.09166666666666666,0.0,0.0
0.09444444444444444,0.0,0.0
0.09722222222222222,0.0,0.0
0.1,0.0,0.0
0.10277777777777777,0.0,0.0
0.10555555555555556,0.0,0.0
0.10833333333333334,0.0,0.0
0.1111111111111111,0.0,0.0
0.11388888888888889,0.0,0.0
0.11666666666666667,0.0,0.0
0.11944444444444445,0.0,0.0
0.12222222222222222,0.0,0.0
0.125,0.0,0.0
0.12777777777777777,0.0,0.0
0.13055555555555556,0.0,0.0
0.13333333333333333,0.0,0.0
0.1361111111111111,0.0,0.0
0.1388888888888889,0.0,0.0
0.14166666666666666,0.0,0.0
0.14444444444444443,0.0,0.0
0.14722222222222223,0.0,0.0
0.15,0.0,0.0
0.1527777777777778,0.0,0.0
0.15555555555555556,0.0,0.0
0.15833333333333333,0.0,0.0
0.16111111111111112,0.0,0.0
0.1638888888888889,0.0,0.0
0.16666666666666666,0.0,0.0
0.16944444444444445,0.0,0.0
0.17222222222222222,0.0,0.0
0.175,0.0,0.0
0.17777777777777778,0.0,0.0
0.18055555555555555,0.0,0.0
0.18333333333333332,0.0,0.0
0.18611111111111112,0.0,0.0
0.18888888888888888,0.0,0.0
0.19166666666666668,0.0,0.0
0.19444444444444445,0.0,0.0
0.19722222222222222,0.0,0.0
0.2,0.0,0.0
0.20277777777777778,0.0,0.0
0.20555555555555555,0.0,0.013513513513513514
0.20833333333333334,0.0,0.02666666666666667
0.2111111111111111,0.013157894736842105,0.02631578947368421
0.21388888888888888,0.012987012987012988,0.025974025974025976
0.21666666666666667,0.02564102564102564,0.02564102564102564
0.21944444444444444,0.02531645569620253,0.02531645569620253
0.2222222222222222,0.025,0.025
0.225,0.024691358024691357,0.024691358024691357
